round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_id,num_samples,train_loss
3,0.7816,0.7727259104450177,0.8163115899019604,1526.4460411071777,247.0748257637024,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,0,True,0,4439,0.20845074394784935
3,0.8444,0.8421419735321192,0.5750533574366872,1526.4460411071777,172.54271817207336,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,0,True,1,3105,0.21666461551965366
3,0.57,0.46975701158800426,2.724250844007806,1526.4460411071777,532.4383566379547,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,0,True,2,9593,0.0562100211999253
3,0.7884,0.7800536885204323,0.9847010328799863,1526.4460411071777,172.6595332622528,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,0,True,3,3107,0.217673104398095
3,0.82,0.8156506532357652,0.7699489846259733,1526.4460411071777,125.32100510597229,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,0,True,4,2256,0.18879243075733687
4,0.8924,0.8923991564093863,0.3905946550348514,1525.8557062149048,246.78362798690796,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,1,False,0,4439,0.1805288900490137
4,0.8748,0.8742252395305974,0.5717187973706028,1525.8557062149048,172.34370708465576,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,1,False,1,3105,0.21191345478164433
4,0.714,0.6894432059815931,1.9053606458857089,1525.8557062149048,532.5531027317047,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,1,False,2,9593,0.03817861054732627
4,0.8572,0.8559487361498948,0.5348415364381633,1525.8557062149048,172.59723567962646,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,1,False,3,3107,0.19083689641154936
4,0.7452,0.7297912257569281,0.854092145833788,1525.8557062149048,125.26010513305664,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,1,False,4,2256,0.1739352782172686
5,0.8012,0.7949342064762501,0.9301331533661371,1525.5964365005493,246.65962839126587,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,2,False,0,4439,0.14667103198817869
5,0.8772,0.876982998008487,0.4560484563153756,1525.5964365005493,172.29050397872925,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,2,False,1,3105,0.19476417230668414
5,0.5988,0.520359977727105,3.000732028031651,1525.5964365005493,532.4919230937958,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,2,False,2,9593,0.025183030254016026
5,0.8284,0.8251078583075235,0.72887666476301,1525.5964365005493,172.57655882835388,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,2,False,3,3107,0.18112697068061367
5,0.8192,0.814690303219141,0.8899771467417101,1525.5964365005493,125.15544176101685,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,2,False,4,2256,0.1522381988068459
6,0.8352,0.8326600744483956,0.836416880871299,1525.357061624527,246.73933959007263,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,3,False,0,4439,0.1302106885307653
6,0.8784,0.8779246679550968,0.5945084783472593,1525.357061624527,172.43179845809937,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,3,False,1,3105,0.1638123933861815
6,0.7436,0.7262723382696552,2.0299093768566467,1525.357061624527,532.162346124649,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,3,False,2,9593,0.02396742232603098
6,0.878,0.8776106844829128,0.6584032943260066,1525.357061624527,172.49581956863403,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,3,False,3,3107,0.15466823927771747
6,0.8428,0.8409586575065329,0.8041548822310907,1525.357061624527,125.13991808891296,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,3,False,4,2256,0.15126280946305545
